airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Air Asia,18/05/2019,Kolkata,Banglore,19:55,22:25,2h 30m,non-stop,No info,5989
SpiceJet,27/03/2019,Chennai,Kolkata,08:20,10:35,2h 15m,non-stop,No info,3384
Air India,1/05/2019,Kolkata,Banglore,07:00,05:25 02 May,22h 25m,2 stops,No info,14424
IndiGo,9/03/2019,Kolkata,Banglore,05:30,08:20,2h 50m,non-stop,No info,4148
Jet Airways,18/05/2019,Delhi,Cochin,19:15,12:35 19 May,17h 20m,1 stop,In-flight meal not included,12373
SpiceJet,15/03/2019,Kolkata,Banglore,06:55,09:35,2h 40m,non-stop,No check-in baggage included,3815
Jet Airways,12/03/2019,Banglore,New Delhi,22:55,09:30 13 Mar,10h 35m,1 stop,No info,13817
IndiGo,18/03/2019,Mumbai,Hyderabad,21:20,22:45,1h 25m,non-stop,No info,2227
IndiGo,21/04/2019,Kolkata,Banglore,22:15,00:50 22 Apr,2h 35m,non-stop,No info,4804
Jet Airways,6/05/2019,Kolkata,Banglore,17:00,23:35,6h 35m,1 stop,In-flight meal not included,10703
Jet Airways,9/06/2019,Delhi,Cochin,11:30,04:25 10 Jun,16h 55m,1 stop,In-flight meal not included,10262
Jet Airways,12/06/2019,Kolkata,Banglore,18:55,20:45 13 Jun,25h 50m,1 stop,In-flight meal not included,8529
IndiGo,24/06/2019,Delhi,Cochin,10:35,21:00,10h 25m,1 stop,No info,5894
IndiGo,12/06/2019,Delhi,Cochin,07:30,21:00,13h 30m,1 stop,No info,6093
IndiGo,6/04/2019,Banglore,Delhi,08:30,11:20,2h 50m,non-stop,No info,4823
Jet Airways,9/03/2019,Delhi,Cochin,19:45,04:25 10 Mar,8h 40m,1 stop,In-flight meal not included,11848
Vistara,1/04/2019,Banglore,Delhi,21:00,23:50,2h 50m,non-stop,No info,5403
Jet Airways,27/03/2019,Delhi,Cochin,18:15,04:25 28 Mar,10h 10m,1 stop,In-flight meal not included,6540
Jet Airways,6/06/2019,Kolkata,Banglore,14:05,23:35,9h 30m,1 stop,No info,14571
Air India,9/06/2019,Kolkata,Banglore,09:25,05:35 10 Jun,20h 10m,2 stops,No info,11432
Jet Airways,24/06/2019,Banglore,Delhi,17:45,20:45,3h,non-stop,No info,8016
IndiGo,3/03/2019,Kolkata,Banglore,20:25,23:05,2h 40m,non-stop,No info,6038
IndiGo,24/03/2019,Chennai,Kolkata,07:55,10:15,2h 20m,non-stop,No info,4326
Multiple carriers,21/03/2019,Delhi,Cochin,04:45,12:35,7h 50m,1 stop,No info,9838
Multiple carriers Premium economy,21/03/2019,Delhi,Cochin,08:55,15:30,6h 35m,1 stop,No info,11269
IndiGo,12/04/2019,Banglore,Delhi,16:55,19:55,3h,non-stop,No info,4990
Jet Airways,15/03/2019,Mumbai,Hyderabad,15:50,17:20,1h 30m,non-stop,In-flight meal not included,2470
Air India,27/06/2019,Mumbai,Hyderabad,21:05,22:25,1h 20m,non-stop,No info,3100
IndiGo,24/06/2019,Delhi,Cochin,16:00,01:30 25 Jun,9h 30m,1 stop,No info,6316
Jet Airways,12/05/2019,Kolkata,Banglore,06:30,08:15 13 May,25h 45m,1 stop,No info,13941
Vistara,6/06/2019,Kolkata,Banglore,07:10,20:20,13h 10m,1 stop,No info,8610
IndiGo,15/05/2019,Kolkata,Banglore,06:20,10:20,4h,1 stop,No info,4226
Jet Airways,9/06/2019,Delhi,Cochin,13:00,19:00,6h,1 stop,In-flight meal not included,10262
IndiGo,1/06/2019,Mumbai,Hyderabad,21:20,22:50,1h 30m,non-stop,No info,2227
IndiGo,1/04/2019,Kolkata,Banglore,17:35,22:15,4h 40m,1 stop,No info,5699
Jet Airways,6/06/2019,Delhi,Cochin,14:35,04:25 07 Jun,13h 50m,2 stops,In-flight meal not included,10919
Jet Airways,6/06/2019,Kolkata,Banglore,16:30,23:35,7h 5m,1 stop,In-flight meal not included,10844
IndiGo,6/06/2019,Kolkata,Banglore,09:35,12:10,2h 35m,non-stop,No info,4804
IndiGo,3/05/2019,Kolkata,Banglore,14:25,16:55,2h 30m,non-stop,No info,5224
Multiple carriers,9/05/2019,Delhi,Cochin,07:30,21:00,13h 30m,1 stop,No info,7670
SpiceJet,1/04/2019,Kolkata,Banglore,22:20,00:40 02 Apr,2h 20m,non-stop,No info,3873
IndiGo,24/04/2019,Banglore,Delhi,18:55,21:50,2h 55m,non-stop,No info,4823
Air India,9/03/2019,Delhi,Cochin,10:55,19:15 10 Mar,32h 20m,2 stops,No info,17476
Jet Airways,12/05/2019,Kolkata,Banglore,18:55,08:15 13 May,13h 20m,1 stop,In-flight meal not included,9663
Air India,24/05/2019,Kolkata,Banglore,09:50,12:30 25 May,26h 40m,2 stops,No info,15170
Jet Airways,15/05/2019,Kolkata,Banglore,16:30,22:35,6h 5m,1 stop,No info,14781
IndiGo,3/06/2019,Banglore,Delhi,01:30,04:15,2h 45m,non-stop,No info,3943
Jet Airways,24/03/2019,Kolkata,Banglore,13:55,04:45 25 Mar,14h 50m,1 stop,No info,13759
Jet Airways,12/04/2019,Banglore,Delhi,08:20,11:20,3h,non-stop,No info,7229
Air India,21/05/2019,Kolkata,Banglore,16:50,05:35 22 May,12h 45m,2 stops,No info,12324
Jet Airways,12/05/2019,Kolkata,Banglore,06:30,12:00,5h 30m,1 stop,No info,13941
Multiple carriers,3/03/2019,Delhi,Cochin,11:30,01:35 04 Mar,14h 5m,1 stop,No info,18286
SpiceJet,15/06/2019,Mumbai,Hyderabad,05:45,07:15,1h 30m,non-stop,No info,2753
IndiGo,3/03/2019,Chennai,Kolkata,13:20,15:35,2h 15m,non-stop,No info,7295
IndiGo,6/03/2019,Delhi,Cochin,07:35,16:10,8h 35m,1 stop,No info,7094
Jet Airways,9/06/2019,Delhi,Cochin,09:25,12:35 10 Jun,27h 10m,2 stops,No info,13882
Multiple carriers,3/06/2019,Delhi,Cochin,09:15,19:00,9h 45m,1 stop,No info,11622
Air India,6/06/2019,Kolkata,Banglore,08:20,18:30,10h 10m,2 stops,No info,10697
Multiple carriers,18/05/2019,Delhi,Cochin,04:55,19:15,14h 20m,1 stop,No info,7564
Jet Airways,18/05/2019,Kolkata,Banglore,14:05,19:50,5h 45m,1 stop,No info,14781
Jet Airways,6/05/2019,Kolkata,Banglore,16:30,20:45 07 May,28h 15m,1 stop,In-flight meal not included,9663
IndiGo,27/06/2019,Delhi,Cochin,05:05,16:10,11h 5m,1 stop,No info,6442
SpiceJet,6/06/2019,Kolkata,Banglore,15:55,21:25,5h 30m,1 stop,No info,8224
Air India,3/06/2019,Kolkata,Banglore,20:45,23:20,2h 35m,non-stop,No info,4145
Jet Airways,18/05/2019,Delhi,Cochin,20:00,04:25 19 May,8h 25m,2 stops,In-flight meal not included,15318
Jet Airways,24/06/2019,Delhi,Cochin,23:05,12:35 25 Jun,13h 30m,2 stops,No info,12819
SpiceJet,24/05/2019,Banglore,Delhi,09:30,12:20,2h 50m,non-stop,No check-in baggage included,3573
Air India,6/05/2019,Kolkata,Banglore,14:15,16:45,2h 30m,non-stop,No info,5510
Jet Airways,1/05/2019,Kolkata,Banglore,20:00,04:40 02 May,8h 40m,1 stop,No info,13941
IndiGo,24/03/2019,Banglore,New Delhi,08:30,11:30,3h,non-stop,No info,7303
SpiceJet,24/06/2019,Mumbai,Hyderabad,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965
Jet Airways,24/05/2019,Kolkata,Banglore,06:30,12:00,5h 30m,1 stop,No info,14178
Vistara,6/03/2019,Mumbai,Hyderabad,08:45,16:45,8h,1 stop,No info,12395
Jet Airways,1/04/2019,Banglore,Delhi,19:50,22:50,3h,non-stop,In-flight meal not included,4544
Jet Airways,15/05/2019,Banglore,Delhi,06:00,08:45,2h 45m,non-stop,No info,7229
IndiGo,3/03/2019,Delhi,Cochin,09:10,21:00,11h 50m,1 stop,No info,14871
IndiGo,3/06/2019,Kolkata,Banglore,09:35,12:10,2h 35m,non-stop,No info,4804
Multiple carriers,15/05/2019,Delhi,Cochin,08:00,19:00,11h,1 stop,No info,10197
Vistara,12/06/2019,Banglore,Delhi,07:00,09:40,2h 40m,non-stop,No info,4668
Air India,1/06/2019,Delhi,Cochin,09:00,19:15,10h 15m,1 stop,No info,10454
Air India,27/05/2019,Delhi,Cochin,21:00,19:15 28 May,22h 15m,1 stop,No info,8372
IndiGo,15/03/2019,Banglore,New Delhi,13:40,18:35,4h 55m,1 stop,No info,7166
Air India,9/04/2019,Delhi,Cochin,20:30,08:15 10 Apr,11h 45m,1 stop,No info,5683
Jet Airways,27/06/2019,Delhi,Cochin,18:20,19:00 28 Jun,24h 40m,2 stops,No info,14300
Air India,21/03/2019,Delhi,Cochin,16:40,19:15 22 Mar,26h 35m,2 stops,No info,8236
IndiGo,3/05/2019,Banglore,Delhi,10:10,13:00,2h 50m,non-stop,No info,3943
Jet Airways,6/05/2019,Kolkata,Banglore,20:25,22:05 07 May,25h 40m,1 stop,No info,11467
Air India,12/06/2019,Delhi,Cochin,07:00,19:15,12h 15m,1 stop,No info,8669
IndiGo,24/04/2019,Delhi,Cochin,06:50,12:10,5h 20m,1 stop,No info,5298
IndiGo,15/06/2019,Kolkata,Banglore,15:15,17:45,2h 30m,non-stop,No info,4804
Jet Airways,27/06/2019,Delhi,Cochin,06:45,12:35 28 Jun,29h 50m,2 stops,No info,13376
Multiple carriers,9/05/2019,Delhi,Cochin,10:00,01:30 10 May,15h 30m,1 stop,No info,15078
Air India,9/03/2019,Delhi,Cochin,21:30,19:15 10 Mar,21h 45m,2 stops,No info,11762
IndiGo,18/04/2019,Banglore,Delhi,04:00,06:50,2h 50m,non-stop,No info,4423
Vistara,15/04/2019,Banglore,Delhi,09:45,12:35,2h 50m,non-stop,No info,5403
Air Asia,21/06/2019,Kolkata,Banglore,22:50,01:20 22 Jun,2h 30m,non-stop,No info,3807
IndiGo,9/03/2019,Delhi,Cochin,07:35,16:10,8h 35m,1 stop,No info,6674
Jet Airways,27/06/2019,Delhi,Cochin,20:00,19:00 28 Jun,23h,2 stops,No info,14300
IndiGo,3/04/2019,Banglore,Delhi,08:30,11:20,2h 50m,non-stop,No info,4823
Jet Airways,18/05/2019,Kolkata,Banglore,05:45,08:15 19 May,26h 30m,1 stop,No info,13941
Jet Airways,9/05/2019,Delhi,Cochin,19:10,19:00 10 May,23h 50m,2 stops,No info,15129
Vistara,21/05/2019,Kolkata,Banglore,17:00,18:50 22 May,25h 50m,1 stop,No info,9345
Jet Airways,15/03/2019,Banglore,New Delhi,07:00,07:40 16 Mar,24h 40m,1 stop,In-flight meal not included,7832
IndiGo,18/03/2019,Mumbai,Hyderabad,09:10,10:40,1h 30m,non-stop,No info,4049
Multiple carriers,24/06/2019,Delhi,Cochin,07:30,21:00,13h 30m,1 stop,No info,7740
SpiceJet,24/05/2019,Chennai,Kolkata,08:20,10:35,2h 15m,non-stop,No info,3597
Multiple carriers,21/05/2019,Delhi,Cochin,13:00,21:00,8h,1 stop,No info,14067
IndiGo,21/03/2019,Banglore,New Delhi,05:25,10:10,4h 45m,1 stop,No info,6208
Multiple carriers,27/05/2019,Delhi,Cochin,17:30,01:30 28 May,8h,1 stop,No info,13377
Air India,27/06/2019,Delhi,Cochin,09:45,23:00,13h 15m,1 stop,No info,8907
Jet Airways,12/06/2019,Delhi,Cochin,19:15,12:35 13 Jun,17h 20m,1 stop,In-flight meal not included,10262
Jet Airways,6/06/2019,Delhi,Cochin,09:40,04:25 07 Jun,18h 45m,2 stops,No info,13014
Air India,15/05/2019,Delhi,Cochin,20:30,23:00 16 May,26h 30m,1 stop,No info,8907
Jet Airways,9/06/2019,Kolkata,Banglore,21:10,23:35 10 Jun,26h 25m,1 stop,In-flight meal not included,10844
Jet Airways,9/03/2019,Delhi,Cochin,02:15,04:25 10 Mar,26h 10m,1 stop,In-flight meal not included,11848
GoAir,09/03/2019,Banglore,New Delhi,07:45,10:40,2h 55m,non-stop,No info,7631
Air India,12/05/2019,Kolkata,Banglore,05:50,08:55 13 May,27h 5m,2 stops,No info,11411
Vistara,18/05/2019,Kolkata,Banglore,20:20,20:20 19 May,24h,1 stop,No info,9555
Jet Airways,3/03/2019,Delhi,Cochin,21:50,18:50 04 Mar,21h,1 stop,No info,17024
Multiple carriers,15/06/2019,Delhi,Cochin,15:00,01:30 16 Jun,10h 30m,1 stop,No info,13377
Jet Airways,21/05/2019,Kolkata,Banglore,16:30,22:35,6h 5m,1 stop,No info,14781
Jet Airways,15/05/2019,Kolkata,Banglore,20:25,14:25 16 May,18h,1 stop,No info,11467
Multiple carriers,9/03/2019,Delhi,Cochin,07:00,19:45,12h 45m,1 stop,No info,15237
Jet Airways,18/05/2019,Delhi,Cochin,11:30,19:00,7h 30m,1 stop,No info,15554
Jet Airways,6/06/2019,Kolkata,Banglore,20:25,10:55 07 Jun,14h 30m,1 stop,In-flight meal not included,10539
IndiGo,27/06/2019,Kolkata,Banglore,11:30,14:05,2h 35m,non-stop,No info,4804
Jet Airways,9/04/2019,Banglore,Delhi,06:00,08:45,2h 45m,non-stop,No info,7229
IndiGo,9/06/2019,Banglore,Delhi,08:30,11:20,2h 50m,non-stop,No info,4823
Jet Airways,27/06/2019,Mumbai,Hyderabad,19:35,21:05,1h 30m,non-stop,No info,5678
Air India,24/06/2019,Banglore,Delhi,10:00,12:45,2h 45m,non-stop,No info,6961
Multiple carriers,18/05/2019,Delhi,Cochin,03:50,12:35,8h 45m,1 stop,No info,10197
Jet Airways,24/06/2019,Delhi,Cochin,10:00,19:00,9h,1 stop,In-flight meal not included,10262
IndiGo,24/05/2019,Kolkata,Banglore,15:30,18:05,2h 35m,non-stop,No info,4804
Jet Airways,6/05/2019,Kolkata,Banglore,20:25,18:00 07 May,21h 35m,1 stop,In-flight meal not included,9314
Vistara,15/05/2019,Kolkata,Banglore,20:20,10:45 16 May,14h 25m,1 stop,No info,8452
Jet Airways,9/06/2019,Kolkata,Banglore,17:00,21:05 10 Jun,28h 5m,1 stop,No info,12692
Jet Airways,24/05/2019,Kolkata,Banglore,10:20,17:35,7h 15m,1 stop,No info,8781
Jet Airways,3/06/2019,Delhi,Cochin,19:45,04:25 04 Jun,8h 40m,1 stop,No info,14714
Jet Airways,18/05/2019,Kolkata,Banglore,05:45,12:00,6h 15m,1 stop,In-flight meal not included,8586
Jet Airways,24/06/2019,Mumbai,Hyderabad,08:45,10:15,1h 30m,non-stop,No info,8040
Jet Airways,9/06/2019,Delhi,Cochin,11:45,12:35 10 Jun,24h 50m,2 stops,No info,13882
Jet Airways,24/05/2019,Kolkata,Banglore,09:35,23:35,14h,1 stop,No info,14151
Air India,21/05/2019,Delhi,Cochin,22:00,19:15 22 May,21h 15m,2 stops,No info,10231
Vistara,24/05/2019,Kolkata,Banglore,07:10,09:05 25 May,25h 55m,1 stop,No info,9502
Jet Airways,27/06/2019,Delhi,Cochin,21:25,19:00 28 Jun,21h 35m,2 stops,No info,13292
Jet Airways,9/06/2019,Kolkata,Banglore,14:05,19:50,5h 45m,1 stop,In-flight meal not included,10844
Jet Airways,1/04/2019,Kolkata,Banglore,21:10,08:15 02 Apr,11h 5m,1 stop,In-flight meal not included,8849
Jet Airways,6/06/2019,Delhi,Cochin,11:45,04:25 07 Jun,16h 40m,2 stops,In-flight meal not included,11992
SpiceJet,1/05/2019,Chennai,Kolkata,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
SpiceJet,24/06/2019,Kolkata,Banglore,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841
Air India,1/05/2019,Kolkata,Banglore,20:30,13:45 02 May,17h 15m,2 stops,No info,15164
Jet Airways,15/05/2019,Kolkata,Banglore,16:30,18:15 16 May,25h 45m,1 stop,In-flight meal not included,10844
Jet Airways,6/05/2019,Delhi,Cochin,19:10,19:00 07 May,23h 50m,2 stops,No info,15129
SpiceJet,6/05/2019,Kolkata,Banglore,11:35,18:50,7h 15m,1 stop,No info,8479
Jet Airways,15/05/2019,Kolkata,Banglore,20:25,09:45 16 May,13h 20m,1 stop,No info,13067
Air India,3/03/2019,Delhi,Cochin,05:55,07:40 04 Mar,25h 45m,2 stops,No info,15113
Multiple carriers,24/05/2019,Delhi,Cochin,09:00,19:00,10h,1 stop,No info,10197
GoAir,24/06/2019,Delhi,Cochin,07:00,12:55,5h 55m,1 stop,No info,5281
Air India,21/06/2019,Mumbai,Hyderabad,06:20,07:40,1h 20m,non-stop,No info,3100
Air India,21/03/2019,Banglore,New Delhi,06:55,23:20,16h 25m,1 stop,No info,6987
Multiple carriers,18/05/2019,Delhi,Cochin,10:20,19:00,8h 40m,1 stop,No info,9794
Air India,15/05/2019,Delhi,Cochin,20:40,09:25 16 May,12h 45m,1 stop,No info,7480
Jet Airways,24/06/2019,Delhi,Cochin,20:55,04:25 25 Jun,7h 30m,1 stop,In-flight meal not included,10262
SpiceJet,3/04/2019,Kolkata,Banglore,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841
Jet Airways,12/06/2019,Delhi,Cochin,10:00,04:25 13 Jun,18h 25m,1 stop,In-flight meal not included,10262
Multiple carriers,27/06/2019,Delhi,Cochin,08:45,21:00,12h 15m,1 stop,No info,7005
Multiple carriers,9/06/2019,Delhi,Cochin,11:25,19:00,7h 35m,1 stop,No info,11200
Jet Airways,6/05/2019,Kolkata,Banglore,20:25,09:45 07 May,13h 20m,1 stop,In-flight meal not included,8066
Jet Airways,9/06/2019,Kolkata,Banglore,16:30,23:35,7h 5m,1 stop,No info,14571
Air India,18/05/2019,Delhi,Cochin,08:00,19:15,11h 15m,1 stop,No info,8879
Air India,09/03/2019,Banglore,New Delhi,06:50,23:10,16h 20m,1 stop,No info,5626
Air India,18/05/2019,Kolkata,Banglore,14:35,14:35 19 May,24h,1 stop,No info,6528
Jet Airways,21/03/2019,Banglore,New Delhi,08:55,20:20,11h 25m,1 stop,In-flight meal not included,7832
Jet Airways,24/03/2019,Kolkata,Banglore,18:55,18:10 25 Mar,23h 15m,1 stop,No info,14231
Air India,9/05/2019,Kolkata,Banglore,10:00,23:15,13h 15m,1 stop,No info,10203
SpiceJet,21/05/2019,Kolkata,Banglore,17:10,19:40,2h 30m,non-stop,No check-in baggage included,3841
Jet Airways,6/06/2019,Kolkata,Banglore,20:00,12:00 07 Jun,16h,1 stop,No info,14571
IndiGo,12/05/2019,Kolkata,Banglore,20:20,22:55,2h 35m,non-stop,No info,4804
Multiple carriers,24/06/2019,Delhi,Cochin,08:00,21:00,13h,1 stop,No info,13797
Multiple carriers,6/03/2019,Delhi,Cochin,10:20,18:50,8h 30m,1 stop,No info,15411
Jet Airways,6/06/2019,Delhi,Cochin,07:05,04:25 07 Jun,21h 20m,1 stop,In-flight meal not included,10262
SpiceJet,1/03/2019,Kolkata,Banglore,06:55,09:35,2h 40m,non-stop,No info,4622
SpiceJet,09/03/2019,Banglore,New Delhi,20:30,23:20,2h 50m,non-stop,No info,5126
IndiGo,18/05/2019,Mumbai,Hyderabad,21:20,22:50,1h 30m,non-stop,No info,2227
IndiGo,15/06/2019,Delhi,Cochin,11:55,22:30,10h 35m,1 stop,No info,6442
Jet Airways,15/05/2019,Kolkata,Banglore,18:55,08:15 16 May,13h 20m,1 stop,No info,14388
Jet Airways,6/06/2019,Kolkata,Banglore,10:20,17:35,7h 15m,1 stop,In-flight meal not included,9689
IndiGo,27/06/2019,Mumbai,Hyderabad,12:00,13:30,1h 30m,non-stop,No info,2754
Jet Airways,24/03/2019,Kolkata,Banglore,08:25,20:40,12h 15m,1 stop,In-flight meal not included,11134
Air India,21/03/2019,Delhi,Cochin,21:00,07:40 22 Mar,10h 40m,1 stop,No info,6902
Jet Airways,21/05/2019,Kolkata,Banglore,14:05,23:35,9h 30m,1 stop,In-flight meal not included,10844
Multiple carriers,18/05/2019,Delhi,Cochin,19:00,01:30 19 May,6h 30m,1 stop,No info,7670
IndiGo,6/03/2019,Mumbai,Hyderabad,02:30,04:00,1h 30m,non-stop,No info,3175
Jet Airways,21/04/2019,Banglore,Delhi,15:15,18:10,2h 55m,non-stop,No info,7229
GoAir,24/05/2019,Banglore,Delhi,11:40,14:30,2h 50m,non-stop,No info,3398
Jet Airways,1/04/2019,Kolkata,Banglore,16:30,19:50 02 Apr,27h 20m,1 stop,In-flight meal not included,7064
Air India,15/06/2019,Banglore,Delhi,13:20,16:10,2h 50m,non-stop,No info,6961
IndiGo,18/05/2019,Kolkata,Banglore,06:20,10:20,4h,1 stop,No info,4226
Jet Airways,9/05/2019,Delhi,Cochin,21:50,04:25 10 May,6h 35m,1 stop,No info,15554
Vistara,12/06/2019,Kolkata,Banglore,17:00,10:45 13 Jun,17h 45m,1 stop,No info,8452
Multiple carriers,15/06/2019,Delhi,Cochin,13:00,01:30 16 Jun,12h 30m,1 stop,No info,13377
Jet Airways,9/05/2019,Kolkata,Banglore,16:30,08:15 10 May,15h 45m,1 stop,No info,13941
IndiGo,6/04/2019,Delhi,Cochin,20:25,01:30 07 Apr,5h 5m,1 stop,No info,5073
Jet Airways,1/05/2019,Kolkata,Banglore,17:00,09:45 02 May,16h 45m,1 stop,In-flight meal not included,9314
Air India,27/06/2019,Delhi,Cochin,13:15,07:40 28 Jun,18h 25m,2 stops,No info,13547
Air India,6/05/2019,Kolkata,Banglore,05:50,08:55 07 May,27h 5m,2 stops,No info,10991
SpiceJet,6/06/2019,Mumbai,Hyderabad,22:45,00:15 07 Jun,1h 30m,non-stop,No check-in baggage included,1965
Multiple carriers,3/06/2019,Delhi,Cochin,06:00,19:15,13h 15m,1 stop,No info,9736
Jet Airways,9/06/2019,Banglore,Delhi,11:10,14:05,2h 55m,non-stop,In-flight meal not included,7229
Multiple carriers,12/06/2019,Delhi,Cochin,17:45,01:30 13 Jun,7h 45m,1 stop,No info,6795
Jet Airways,6/06/2019,Kolkata,Banglore,08:25,19:50,11h 25m,1 stop,In-flight meal not included,10844
Multiple carriers,24/06/2019,Delhi,Cochin,13:00,01:30 25 Jun,12h 30m,1 stop,No info,7198
Jet Airways,27/06/2019,Delhi,Cochin,19:45,12:35 28 Jun,16h 50m,1 stop,In-flight meal not included,10262
Jet Airways,1/06/2019,Delhi,Cochin,07:05,12:35,5h 30m,1 stop,No info,16079
Jet Airways,9/04/2019,Delhi,Cochin,05:30,04:25 10 Apr,22h 55m,2 stops,No info,10909
Jet Airways,1/06/2019,Delhi,Cochin,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202
SpiceJet,18/06/2019,Chennai,Kolkata,08:20,10:35,2h 15m,non-stop,No check-in baggage included,3543
Air India,15/05/2019,Delhi,Cochin,12:00,07:40 16 May,19h 40m,2 stops,No info,10651
Jet Airways,21/03/2019,Banglore,New Delhi,22:50,11:25 19 Mar,12h 35m,1 stop,In-flight meal not included,7832
IndiGo,6/04/2019,Delhi,Cochin,02:00,07:25,5h 25m,1 stop,No info,5046
Jet Airways,9/05/2019,Banglore,Delhi,15:15,18:10,2h 55m,non-stop,No info,7229
IndiGo,9/05/2019,Delhi,Cochin,10:35,01:30 10 May,14h 55m,1 stop,No info,8330
Air Asia,15/05/2019,Delhi,Cochin,16:45,07:10 16 May,14h 25m,1 stop,No info,6752
Jet Airways,1/06/2019,Delhi,Cochin,11:40,19:00,7h 20m,2 stops,No info,18804
Air India,21/03/2019,Delhi,Cochin,17:15,19:15 22 Mar,26h,2 stops,No info,8245
Jet Airways,24/05/2019,Banglore,Delhi,17:45,20:45,3h,non-stop,In-flight meal not included,6144
Jet Airways,24/03/2019,Kolkata,Banglore,13:55,22:35,8h 40m,1 stop,In-flight meal not included,11134
Air Asia,15/04/2019,Kolkata,Banglore,07:35,19:25,11h 50m,1 stop,No info,5192
Jet Airways,21/06/2019,Banglore,Delhi,07:10,10:10,3h,non-stop,In-flight meal not included,5769
Air Asia,18/06/2019,Kolkata,Banglore,09:45,12:15,2h 30m,non-stop,No info,3807
Air India,27/06/2019,Delhi,Cochin,07:05,09:25 28 Jun,26h 20m,2 stops,No info,10975
SpiceJet,24/04/2019,Delhi,Cochin,08:45,13:15,4h 30m,1 stop,No check-in baggage included,4760
Air Asia,9/06/2019,Banglore,Delhi,23:55,02:45 10 Jun,2h 50m,non-stop,No info,7120
IndiGo,3/06/2019,Delhi,Cochin,06:40,21:00,14h 20m,1 stop,No info,6093
Jet Airways,1/06/2019,Banglore,Delhi,08:20,11:20,3h,non-stop,In-flight meal not included,7229
Jet Airways,21/03/2019,Banglore,New Delhi,11:40,07:40 19 Mar,20h,1 stop,In-flight meal not included,7832
Jet Airways,1/05/2019,Delhi,Cochin,23:05,04:25 03 May,29h 20m,2 stops,No info,16704
Jet Airways,1/06/2019,Delhi,Cochin,09:00,04:25 02 Jun,19h 25m,1 stop,In-flight meal not included,10262
Air India,6/06/2019,Delhi,Cochin,13:00,19:15,6h 15m,1 stop,No info,8372
Air Asia,15/05/2019,Delhi,Cochin,16:45,22:25,5h 40m,1 stop,No info,6752
Multiple carriers,21/05/2019,Delhi,Cochin,07:05,21:00,13h 55m,1 stop,In-flight meal not included,9930
Air India,18/05/2019,Delhi,Cochin,17:40,08:15 19 May,14h 35m,1 stop,No info,8361
Jet Airways,1/06/2019,Delhi,Cochin,22:50,12:35 02 Jun,13h 45m,1 stop,No info,14714
Jet Airways,18/03/2019,Banglore,New Delhi,21:25,09:00 16 Mar,11h 35m,1 stop,No info,13555
Multiple carriers,21/03/2019,Delhi,Cochin,09:45,21:20,11h 35m,2 stops,No info,7178
Air India,1/06/2019,Banglore,Delhi,10:00,12:45,2h 45m,non-stop,No info,6961
IndiGo,9/06/2019,Kolkata,Banglore,15:30,18:05,2h 35m,non-stop,No info,5224
IndiGo,9/04/2019,Banglore,Delhi,20:00,22:50,2h 50m,non-stop,No info,4823
Jet Airways,24/05/2019,Kolkata,Banglore,08:25,20:45,12h 20m,1 stop,No info,14571
Air India,3/05/2019,Banglore,Delhi,10:00,12:45,2h 45m,non-stop,No info,6121
Vistara,9/05/2019,Kolkata,Banglore,07:10,22:40,15h 30m,1 stop,No info,7927
Jet Airways,15/06/2019,Mumbai,Hyderabad,02:55,04:20,1h 25m,non-stop,No info,5678
Air India,27/05/2019,Mumbai,Hyderabad,06:20,07:40,1h 20m,non-stop,No info,3100
Multiple carriers,1/06/2019,Delhi,Cochin,11:40,19:00,7h 20m,1 stop,No info,12524
Jet Airways,9/06/2019,Kolkata,Banglore,14:05,19:50,5h 45m,1 stop,No info,14571
Air Asia,09/03/2019,Banglore,New Delhi,05:50,08:40,2h 50m,non-stop,No info,4284
Multiple carriers,6/06/2019,Delhi,Cochin,07:05,21:00,13h 55m,1 stop,No info,13587
SpiceJet,27/06/2019,Mumbai,Hyderabad,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965
Multiple carriers,27/05/2019,Delhi,Cochin,09:00,19:00,10h,1 stop,No info,10407
SpiceJet,15/06/2019,Mumbai,Hyderabad,05:45,07:15,1h 30m,non-stop,No check-in baggage included,2647
Multiple carriers,21/03/2019,Delhi,Cochin,14:00,21:00,7h,1 stop,No info,13062
IndiGo,18/05/2019,Kolkata,Banglore,18:05,23:30,5h 25m,1 stop,No info,6704
IndiGo,15/06/2019,Mumbai,Hyderabad,19:05,20:35,1h 30m,non-stop,No info,2754
Jet Airways,3/03/2019,Delhi,Cochin,09:55,04:25 04 Mar,18h 30m,1 stop,No info,19828
Jet Airways,9/06/2019,Mumbai,Hyderabad,02:55,04:20,1h 25m,non-stop,In-flight meal not included,4050
Jet Airways,6/05/2019,Kolkata,Banglore,06:30,16:20,9h 50m,1 stop,No info,14781
Jet Airways,15/03/2019,Banglore,New Delhi,08:55,16:10,7h 15m,1 stop,In-flight meal not included,9134
SpiceJet,9/06/2019,Banglore,Delhi,05:55,08:35,2h 40m,non-stop,No info,3625
